date,VendorID,passenger_count,trip_distance,RatecodeID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2016-01-01,539300,618577,1128584.15,361029,507490,4436117.42,93061.52,171397.5,500760.63,91685.24,103395.9,5396416.61
2016-01-02,483785,555673,958986.49,326970,452995,3889888.11,61811.5,155625.0,458538.0,92194.3,93774.3,4751829.61
2016-01-03,464533,526158,1031562.6,319347,426305,3956068.27,60418.56,150524.5,503822.97,114390.95,90768.3,4875992.75
2016-01-04,482423,520911,9585945.41,331103,438204,3859591.95,118121.1,157365.39,518615.1,110105.21,94762.8,4858560.75
2016-01-05,525169,561079,2650932.03,356639,466383,4119652.88,122104.3,170924.0,569049.43,96658.36,102882.0,5181264.63
2016-01-06,533312,573090,970680.75,360787,471156,4182273.17,126971.88,173583.0,585116.6,96748.68000000001,104476.2,5269169.53
2016-01-07,558711,598325,1022487.61,376661,489219,4423762.5,134929.54,181714.5,631613.5,102508.09,109375.22,5583902.55
2016-01-08,599271,651189,1075213.72,405178,527164,4717297.33,148723.02,195203.0,665025.99,99825.89,117509.51,5943584.74
2016-01-09,623095,698640,1095549.48,419065,551219,4704358.78,87605.54,202104.22,626284.48,74226.51,121638.29999999999,5816217.83
2016-01-10,540667,600617,1082454.93,367254,474418,4290484.28,73051.05,175012.35,589251.88,104736.25,105447.9,5337982.91
2016-01-11,523066,556120,991250.21,355998,459444,4212689.75,126287.66,170623.44,608788.98,114494.0,102710.7,5335594.53
2016-01-12,563061,600708,1006606.25,380822,487682,4398418.19,132648.5,182895.0,649503.31,102341.49,110134.8,5575940.19
2016-01-13,605441,643456,1064063.66,407963,521371,4707096.37,145500.77,196727.85,706610.75,108704.55,118437.29999999999,5983075.19
2016-01-14,606734,646795,1131183.08,411034,522898,4937860.08,143975.04,197318.0,736597.32,123670.13,118850.09999999999,6258252.73
2016-01-15,613414,663123,1183635.61,418694,534770,5103638.1,150483.58,199631.5,738761.36,133665.85,120283.5,6446463.59
2016-01-16,632150,711516,1160184.72,426627,562178,4916284.17,89762.52,205076.0,656498.33,90685.47,123465.9,6081771.59
2016-01-17,583639,655060,1122099.99,393542,514803,4584931.89,80168.93,188718.35,619548.64,101600.82,113651.4,5688618.43
2016-01-18,527585,573855,1022795.36,356867,462001,4092377.32,53416.13,169962.49,573921.74,123225.71,102342.0,5115224.17
2016-01-19,590033,627995,1083586.24,400274,511500,4814441.03,135964.78,191677.0,714043.2,124625.41,115435.8,6096168.64
2016-01-20,584247,623261,1089007.21,396600,503733,4809283.56,138794.74,190167.7,721542.46,125296.35,114515.09999999999,6099594.01
2016-01-21,610701,650903,3571219.64,414234,526602,5089660.09,147733.71,198899.41,756587.66,126898.78,119798.7,6439562.65
2016-01-22,641996,690539,1154922.34,436526,559022,5131358.84,157718.6,209065.43,740732.07,115491.45,125943.0,6480308.29
2016-01-23,119845,132039,216758.16,81050,107443,932088.7,28160.5,38794.0,132060.23,8298.93,23396.399999999998,1162798.76
2016-01-24,256815,279575,469222.21,167821,216813,1958589.55,23797.0,79471.0,261063.25,41392.56,47885.4,2412178.94
2016-01-25,437266,464073,929622.36,300017,376797,4215718.33,106614.12,140138.5,590960.6,118518.95,84516.0,5256465.7
2016-01-26,503878,536519,996586.44,341541,431291,4720514.79,120467.5,163030.0,684747.05,119981.06,98196.9,5906935.7
2016-01-27,550801,586086,1023140.16,371773,471415,4799183.18,134306.04,178835.5,710996.86,108164.4,107664.9,6039148.88
2016-01-28,587565,628172,7425062.529999999,397192,502643,5030542.99,143347.85,190797.45,749010.07,122323.47,114904.2,6350926.03
2016-01-29,632652,683133,1158098.64,428334,547643,5257376.6,159200.72,206083.5,763453.71,118065.51,124086.0,6628250.16
2016-01-30,667792,750773,1167715.67,448442,586656,5313532.83,94889.37,216846.95,701368.1,76698.38,130474.79999999999,6533808.53
2016-01-31,553340,615729,1128066.86,376655,486126,4588085.54,74636.02,179808.5,629359.74,112252.37,108328.8,5692468.2700000005
