date,VendorID,passenger_count,trip_distance,RateCodeID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2015-01-01,590915,690407,1235971.79,399922,577991,4851237.19,102900.6,189762.5,492967.95,92872.27,62007.6,5843310.5
2015-01-02,527160,606716,13018443.16,360225,516376,4180444.76,136956.55,171767.5,438547.85,95424.91,54038.4,5125959.57
2015-01-03,620519,722115,6798974.140000001,422053,597217,4726386.58,79059.6,202494.5,520275.46,88461.71,63662.1,5738019.93
2015-01-04,497972,565709,7317803.83,346633,472108,4176705.23,62265.0,163461.0,494413.08,109785.38,50387.4,5104766.03
2015-01-05,549132,600760,1238946.68,381425,515609,4434649.64,134399.53,180904.5,551381.0,116528.22,108525.3,5526352.49
2015-01-06,583348,632469,1044297.55,399243,535041,4545400.93,141804.56,191332.5,582377.9,96295.07,114813.59999999999,5671972.45
2015-01-07,652539,707487,1129551.05,444489,593132,4936292.26,160658.39,213953.5,644392.51,95049.74,128368.2,6178726.66
2015-01-08,684922,745814,1192503.66,465566,618449,5265567.34,166528.98,224495.5,700301.0,105814.06,134784.0,6597447.71
2015-01-09,678558,747346,31481605.95,462839,617935,5364663.95,178287.15,223047.5,702513.28,107014.82,133992.6,6709467.82
2015-01-10,784944,893040,2997340.21,531806,718032,5848345.85,105004.5,256814.5,727038.62,86211.57,154239.0,7177624.24
2015-01-11,638670,719033,29317837.509999998,437372,579236,5041543.37,81727.8,208853.0,645520.74,114379.83,125560.5,6217547.63
2015-01-12,600705,648214,1108210.31,411655,544625,4750815.3,139246.75,197350.0,639646.42,114793.68000000001,118583.7,5960500.94
2015-01-13,680530,734847,1197776.01,463762,609563,5333194.23,161143.07,223341.0,737486.2,114873.15,134216.69999999998,6704211.78
2015-01-14,671436,724696,1213681.87,458549,599801,5315019.64,159877.85,220233.5,741567.02,121615.4,132495.3,6690748.16
2015-01-15,685519,740407,1266717.82,468610,610997,5551116.68,164505.54,224531.0,765795.47,127037.18000000001,135074.4,6968020.97
2015-01-16,724510,795425,1337189.25,495886,657026,5793878.77,182294.11,237942.0,766842.07,127885.06,143144.4,7252079.53
2015-01-17,724461,829271,1272353.7,492068,670780,5429546.25,98022.74,237432.0,660905.77,80486.1,142801.5,6649147.32
2015-01-18,651069,743288,1210763.03,441775,597789,4933233.83,83175.17,212574.5,4556644.47,87398.57,127906.5,10000911.64
2015-01-19,521265,575507,1061181.61,358141,474119,4173942.18,55448.4,170629.5,546351.03,119043.82,102682.5,5168065.61
2015-01-20,614892,661009,1130027.78,420194,552545,4897308.02,147095.15,201922.0,673797.07,111436.2,121561.2,6153087.45
2015-01-21,656172,704328,5027694.63,445994,583728,5119621.53,158933.57,214825.0,719206.07,107888.47,129360.9,6449817.09
2015-01-22,686488,739687,9714102.4,472996,610319,5472036.82,169634.88,225115.5,772773.01,121367.23,135546.0,6896464.4
2015-01-23,716219,782667,31510961.15,488473,644607,5747005.3,180163.58,235191.5,782603.05,118369.12,141641.69999999998,7204985.66
2015-01-24,706771,798766,4525308.010000001,473947,638999,5111118.38,94662.09,229349.5,654631.75,68963.73,138087.0,6296796.24
2015-01-25,619948,694420,2804491.69,423468,560712,4924117.68,80739.21,202821.5,642984.54,107156.74,122210.09999999999,6079997.600000001
2015-01-26,349439,375606,606276.81,239944,322525,2742463.21,41615.56,114481.0,359144.44,59555.82,69037.8,3386270.73
2015-01-27,216686,232108,301167.02,137925,188248,1260877.79,72245.3,67598.0,168647.03,10346.94,40624.799999999996,1620325.23
2015-01-28,579582,621797,1043611.23,393611,514683,4607364.76,141991.18,189352.0,635144.17,97112.89,114000.9,5784928.09
2015-01-29,656906,705408,1190692.51,447315,582659,5463882.36,159448.3,215066.0,755236.25,111882.08,129534.29999999999,6835041.93
2015-01-30,734534,800834,1296489.63,499169,657437,5873810.41,185033.0,240694.5,795178.64,111481.01,144946.8,7351182.71
2015-01-31,790972,898122,5998283.0,534378,716878,5913495.1,105376.0,259091.0,759930.36,77826.85,155951.1,7271657.43
