Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,sales,year,month,day
Walmart,1128299,2021-08-10,West,Hawaii,Honolulu,Men's Apparel,$70.00 ,525,"$367,500 ","$55,125 ",15%,Outlet,367500,2021,8,10
Walmart,1128299,2021-08-10,West,Hawaii,Honolulu,Women's Apparel,$75.00 ,350,"$262,500 ","$105,000 ",40%,Outlet,262500,2021,8,10
Walmart,1128299,2021-09-11,West,Hawaii,Honolulu,Men's Street Footwear,$65.00 ,550,"$357,500 ","$89,375 ",25%,Outlet,357500,2021,9,11
Walmart,1128299,2021-09-11,West,Hawaii,Honolulu,Men's Athletic Footwear,$70.00 ,550,"$385,000 ","$77,000 ",20%,Outlet,385000,2021,9,11
Walmart,1128299,2021-09-11,West,Hawaii,Honolulu,Women's Street Footwear,$65.00 ,375,"$243,750 ","$60,938 ",25%,Outlet,243750,2021,9,11
Walmart,1128299,2021-09-11,West,Hawaii,Honolulu,Women's Athletic Footwear,$65.00 ,325,"$211,250 ","$52,813 ",25%,Outlet,211250,2021,9,11
Walmart,1128299,2021-09-11,West,Hawaii,Honolulu,Men's Apparel,$75.00 ,350,"$262,500 ","$39,375 ",15%,Outlet,262500,2021,9,11
Walmart,1128299,2021-09-11,West,Hawaii,Honolulu,Women's Apparel,$60.00 ,375,"$225,000 ","$90,000 ",40%,Outlet,225000,2021,9,11
Walmart,1128299,2021-10-10,West,Hawaii,Honolulu,Men's Street Footwear,$55.00 ,475,"$261,250 ","$65,313 ",25%,Outlet,261250,2021,10,10
Walmart,1128299,2021-10-10,West,Hawaii,Honolulu,Men's Athletic Footwear,$65.00 ,475,"$308,750 ","$61,750 ",20%,Outlet,308750,2021,10,10
Walmart,1128299,2021-10-10,West,Hawaii,Honolulu,Women's Street Footwear,$60.00 ,300,"$180,000 ","$45,000 ",25%,Outlet,180000,2021,10,10
Walmart,1128299,2021-10-10,West,Hawaii,Honolulu,Women's Athletic Footwear,$55.00 ,275,"$151,250 ","$37,813 ",25%,Outlet,151250,2021,10,10
Walmart,1128299,2021-10-10,West,Hawaii,Honolulu,Men's Apparel,$65.00 ,250,"$162,500 ","$24,375 ",15%,Outlet,162500,2021,10,10
Walmart,1128299,2021-10-10,West,Hawaii,Honolulu,Women's Apparel,$70.00 ,300,"$210,000 ","$84,000 ",40%,Outlet,210000,2021,10,10
Walmart,1128299,2021-07-16,Southeast,Florida,Orlando,Men's Street Footwear,$90.00 ,900,"$810,000 ","$243,000 ",30%,In-store,810000,2021,7,16
Walmart,1128299,2021-07-16,Southeast,Florida,Orlando,Men's Athletic Footwear,$95.00 ,750,"$712,500 ","$178,125 ",25%,In-store,712500,2021,7,16
Walmart,1128299,2021-07-16,Southeast,Florida,Orlando,Women's Street Footwear,$95.00 ,700,"$665,000 ","$199,500 ",30%,In-store,665000,2021,7,16
Walmart,1128299,2021-07-16,Southeast,Florida,Orlando,Women's Athletic Footwear,$90.00 ,600,"$540,000 ","$162,000 ",30%,In-store,540000,2021,7,16
Walmart,1128299,2021-07-16,Southeast,Florida,Orlando,Men's Apparel,$95.00 ,650,"$617,500 ","$123,500 ",20%,In-store,617500,2021,7,16
Walmart,1128299,2021-07-16,Southeast,Florida,Orlando,Women's Apparel,$110.00 ,650,"$715,000 ","$321,750 ",45%,In-store,715000,2021,7,16
Walmart,1128299,2021-08-17,Southeast,Florida,Orlando,Men's Street Footwear,$95.00 ,850,"$807,500 ","$242,250 ",30%,In-store,807500,2021,8,17
Walmart,1128299,2021-08-17,Southeast,Florida,Orlando,Men's Athletic Footwear,$85.00 ,825,"$701,250 ","$175,313 ",25%,In-store,701250,2021,8,17
Walmart,1128299,2021-08-17,Southeast,Florida,Orlando,Women's Street Footwear,$80.00 ,700,"$560,000 ","$168,000 ",30%,In-store,560000,2021,8,17
Walmart,1128299,2021-08-17,Southeast,Florida,Orlando,Women's Athletic Footwear,$80.00 ,475,"$380,000 ","$114,000 ",30%,In-store,380000,2021,8,17
