Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,sales,year,month,day
Walmart,1185732,2020-04-17,Northeast,New York,New York,Men's Apparel,$60.00 ,900,"$540,000 ","$162,000 ",30%,Outlet,540000,2020,4,17
Walmart,1185732,2020-04-18,Northeast,New York,New York,Women's Apparel,$65.00 ,"1,075","$698,750 ","$174,688 ",25%,Outlet,698750,2020,4,18
Walmart,1185732,2020-04-19,Northeast,New York,New York,Men's Street Footwear,$60.00 ,"1,200","$720,000 ","$360,000 ",50%,Outlet,720000,2020,4,19
Walmart,1185732,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,"1,000","$550,000 ","$165,000 ",30%,Outlet,550000,2020,4,20
Walmart,1185732,2020-04-21,Northeast,New York,New York,Women's Street Footwear,$50.00 ,925,"$462,500 ","$161,875 ",35%,Outlet,462500,2020,4,21
Walmart,1185732,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,$50.00 ,900,"$450,000 ","$157,500 ",35%,Outlet,450000,2020,4,22
Walmart,1185732,2020-04-23,Northeast,New York,New York,Men's Apparel,$60.00 ,900,"$540,000 ","$162,000 ",30%,Outlet,540000,2020,4,23
Walmart,1185732,2020-04-24,Northeast,New York,New York,Women's Apparel,$65.00 ,"1,000","$650,000 ","$162,500 ",25%,Outlet,650000,2020,4,24
Walmart,1185732,2020-04-25,Northeast,New York,New York,Men's Apparel,$65.00 ,875,"$568,750 ","$170,625 ",30%,Outlet,568750,2020,4,25
Walmart,1185732,2020-04-26,Northeast,New York,New York,Women's Apparel,$70.00 ,"1,000","$700,000 ","$175,000 ",25%,Outlet,700000,2020,4,26
Walmart,1185732,2020-04-27,Northeast,New York,New York,Men's Street Footwear,$65.00 ,"1,150","$747,500 ","$373,750 ",50%,Outlet,747500,2020,4,27
Walmart,1185732,2020-04-28,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,975,"$536,250 ","$160,875 ",30%,Outlet,536250,2020,4,28
Walmart,1185732,2020-04-29,Northeast,New York,New York,Women's Street Footwear,$55.00 ,920,"$506,000 ","$177,100 ",35%,Outlet,506000,2020,4,29
Walmart,1185732,2020-04-30,Northeast,New York,New York,Women's Athletic Footwear,$55.00 ,900,"$495,000 ","$173,250 ",35%,Outlet,495000,2020,4,30
Walmart,1185732,2020-05-01,Northeast,New York,New York,Men's Apparel,$65.00 ,875,"$568,750 ","$170,625 ",30%,Outlet,568750,2020,5,1
Walmart,1185732,2020-05-02,Northeast,New York,New York,Women's Apparel,$70.00 ,975,"$682,500 ","$170,625 ",25%,Outlet,682500,2020,5,2
Walmart,1185732,2020-05-03,Northeast,New York,New York,Men's Street Footwear,$65.00 ,"1,200","$780,000 ","$390,000 ",50%,Outlet,780000,2020,5,3
Walmart,1185732,2020-05-04,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,"1,000","$550,000 ","$165,000 ",30%,Outlet,550000,2020,5,4
Walmart,1185732,2020-05-05,Northeast,New York,New York,Women's Street Footwear,$55.00 ,950,"$522,500 ","$182,875 ",35%,Outlet,522500,2020,5,5
Walmart,1185732,2020-05-06,Northeast,New York,New York,Women's Athletic Footwear,$55.00 ,900,"$495,000 ","$173,250 ",35%,Outlet,495000,2020,5,6
Walmart,1185732,2020-05-07,Northeast,New York,New York,Men's Apparel,$65.00 ,900,"$585,000 ","$175,500 ",30%,Outlet,585000,2020,5,7
Walmart,1185732,2020-07-18,Northeast,New York,New York,Women's Apparel,$70.00 ,"1,000","$700,000 ","$175,000 ",25%,Outlet,700000,2020,7,18
Walmart,1197831,2020-08-10,South,Texas,Houston,Men's Apparel,$45.00 ,525,"$236,250 ","$70,875 ",30%,Outlet,236250,2020,8,10
Walmart,1197831,2020-08-11,South,Texas,Houston,Women's Apparel,$40.00 ,800,"$320,000 ","$160,000 ",50%,Outlet,320000,2020,8,11
Walmart,1197831,2020-08-12,South,Texas,Houston,Men's Street Footwear,$30.00 ,925,"$277,500 ","$97,125 ",35%,Outlet,277500,2020,8,12
Walmart,1197831,2020-08-13,South,Texas,Houston,Men's Athletic Footwear,$40.00 ,925,"$370,000 ","$129,500 ",35%,Outlet,370000,2020,8,13
Walmart,1197831,2020-08-14,South,Texas,Houston,Women's Street Footwear,$35.00 ,775,"$271,250 ","$94,938 ",35%,Outlet,271250,2020,8,14
Walmart,1197831,2020-08-15,South,Texas,Houston,Women's Athletic Footwear,$40.00 ,700,"$280,000 ","$126,000 ",45%,Outlet,280000,2020,8,15
Walmart,1197831,2020-08-16,South,Texas,Houston,Men's Apparel,$45.00 ,600,"$270,000 ","$81,000 ",30%,Outlet,270000,2020,8,16
Walmart,1197831,2020-08-17,South,Texas,Houston,Women's Apparel,$40.00 ,950,"$380,000 ","$190,000 ",50%,Outlet,380000,2020,8,17
Walmart,1197831,2020-08-18,South,Texas,Houston,Men's Street Footwear,$40.00 ,950,"$380,000 ","$133,000 ",35%,Outlet,380000,2020,8,18
Walmart,1197831,2020-08-19,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,950,"$427,500 ","$149,625 ",35%,Outlet,427500,2020,8,19
Walmart,1197831,2020-08-20,South,Texas,Houston,Women's Street Footwear,$40.00 ,800,"$320,000 ","$112,000 ",35%,Outlet,320000,2020,8,20
Walmart,1197831,2020-08-21,South,Texas,Houston,Women's Athletic Footwear,$40.00 ,750,"$300,000 ","$135,000 ",45%,Outlet,300000,2020,8,21
Walmart,1197831,2020-08-22,South,Texas,Houston,Men's Apparel,$45.00 ,650,"$292,500 ","$87,750 ",30%,Outlet,292500,2020,8,22
Walmart,1197831,2020-08-23,South,Texas,Houston,Women's Apparel,$50.00 ,"1,000","$500,000 ","$250,000 ",50%,Outlet,500000,2020,8,23
Walmart,1197831,2020-08-24,South,Texas,Houston,Men's Street Footwear,$40.00 ,950,"$380,000 ","$133,000 ",35%,Outlet,380000,2020,8,24
Walmart,1197831,2020-08-25,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,950,"$427,500 ","$149,625 ",35%,Outlet,427500,2020,8,25
